DISTRICT,COUNTY,AUN,WEBSITE,LOGO,LOGO_WHITE,STATUS,COMPANY,MARKET_SECTOR,TEAM_LEAD,ENROLLMENT,SIZE_SQFT,CONSTRUCTION_COST,PROJECT_1,YEAR_1,VALUE_1,PROJECT_2,YEAR_2,VALUE_2,PROJECT_3,YEAR_3,VALUE_3,PROJECT_TYPE,FACILITY_TYPE,KEY_STATS
Methacton SD,Montgomery,123465303,www.methacton.org,methacton.png,,active,Both,K-12,Ianni Vardouniotis,,,$0.00,Methacton High School — Construction Management,,,,,,,,,"Construction Management, Program Management, Capital Improvement",School,Fee ranges vary by hard-cost tier; high school project scope and schedule to be finalized before services commence.
North Penn SD,Montgomery,123465702,www.npenn.org,north-penn.png,,none,,,,,,,,,,,,,,,,,,
Northwestern Lehigh SD,Lehigh,121394603,www.nwlehighsd.org,northwestern-lehigh.png,,past,,,,,,,,,,,,,,,,,,
Parkland SD,Lehigh,121395103,www.parklandsd.org,parkland.png,,none,,,,,,,,,,,,,,,,,,
Pennridge SD,Bucks,122098103,www.pennridge.org,pennridge.png,,active,Both,K-12,Ryan Murphy,,,$0.00,Facility Assessment & Planning Process,,,,,,,,,Advisory/Planning,"School, District-Wide",
Pottsgrove SD,Montgomery,123466303,www.pgsd.org,pottsgrove.png,,active,Both,K-12,Matt Kelly,,"601,025 SF | 4 buildings","$12,592,826.00","GESA Phases 1-4: LED Lighting, Geothermal HVAC, Envelope",2026,$12.6M,,,,,,,"Renovation, Energy/Infrastructure, Capital Improvement","School, District-Wide","Contract Amount Phase 1 $699,517; Phase 2 $11,404,935; Phase 3 $432,214; Phase 4 $56,160; guaranteed savings $6,953 / $33,702 / $1,967 / $3,142; Phase 1 9% EUI reduction; Phase 2 40% EUI reduction; ap"
Quakertown Community SD,Bucks,122098403,www.qcsd.org,,,none,,,,,,,,,,,,,,,,,,
Rose Tree Media SD,Delaware,125237903,www.rtmsd.org,rose-tree-media.png,rose-tree-media-white.png,active,Both,K-12,Ianni Vardouniotis,,125.7k-131k SQFT concept options,$0.00,New K-1 Early Learning Center — Concept & Budget Planning,,,,,,,,,"New Construction, Program Management, Design Services, Construction Management",School,"Budget concept option shows 131,000 SQFT with building improvement costs by trade, including general trades $34,715,000, plumbing $2,882,000, mechanical/HVAC $8,515,000, electrical $8,515,000, and fir"
Salisbury Township SD,Lehigh,121395603,www.salisburysd.org,salisbury.png,,none,,,,,,,,,,,,,,,,,,
Shikellamy SD,Northumberland,116496603,www.shikbraves.org,,,none,,,,,,,,,,,,,,,,,,
Souderton Area SD,Montgomery,123467103,www.soudertonsd.org,souderton-area.png,souderton-area-white.svg,active,Both,K-12,Bill Reid,,4 priority facilities; Oak Ridge HVAC replacement project,"$2,641,864.00",GESA Phase 2: Priority Facility Audit + Oak Ridge ES HVAC,2027,$2.6M,,,,,,,"Energy/Infrastructure, Capital Improvement, Renovation","District-Wide, School","Oak Ridge HVAC replacement total project cost $2,641,864. ECM summary total cost range $7,738,864-$8,668,864 and total Year 1 savings $207,387. Interview timeline shows project closeout December 2026"
Southern Lehigh SD,Lehigh,121395703,www.slsd.org,southern-lehigh.png,,none,,,,,,,,,,,,,,,,,,
Southern Tioga SD,Tioga,117597003,www.southerntioga.org,,,none,,,,,,,,,,,,,,,,,,
Springfield Township SD,Montgomery,123467203,www.sdst.org,springfield.png,,none,,,,,,,,,,,,,,,,,,
Spring-Ford Area SD,Montgomery,123467303,www.spring-ford.net,spring-ford.png,,past,Both,K-12,Tim Guider / Phil Solomon,,"11 facilities district-wide; Spring City ES: 33,500 SF renovations and 7,000 SF addition","$39,800,000.00",District-Wide Facility Assessment & Master Plan,2025,$39.8M,Spring City Elementary Renovation & Addition,,,,,,"Advisory/Planning, Program Management, Design Services, Construction Management, Addition, Energy/Infrastructure, Renovation","School, District-Wide",
Upper Dublin SD,Montgomery,123468303,www.udsd.org,upper-dublin.png,,active,Both,K-12,Ryan Murphy,,"249,042 SF | 3 buildings","$22,029,556.00","GESA Phases 1-3: HVAC, geothermal wellfield, controls (3 ES)",2025,$22.0M,,,,,,,"Renovation, Energy/Infrastructure, Capital Improvement, Program Management, Construction Management","School, District-Wide","Phase 1-3 contract amount $22,029,556; guaranteed savings: $53,484 / $9,136 / $8,266; actual savings Phase 1 $72,214 and Phase 2 $21,451; $1.4M received in ITC credits."
Upper Merion Area SD,Montgomery,123468402,www.umasd.org,upper-merion.png,,none,,,,,,,,,,,,,,,,,,
Upper Moreland Township SD,Montgomery,123468503,www.umtsd.org,,,none,,,,,,,,,,,,,,,,,,
William Penn SD,Delaware,125239652,williampennsd.org,william-penn.png,,past,CMTA,,,,,,Elementary Consolidation,2019,$14.7M,,,,,,,,,
Wyoming Valley West SD,Luzerne,118409302,www.wvwsd.org,wyoming-valley-west.png,,none,,,,,,,,,,,,,,,,,,
Avon Grove SD,Chester,124150503,avongrove.org,avon-grove.png,,,,,,,,,,,,,,,,,,,,
Boyertown Area SD,Berks,114060753,boyertownasd.org,boyertown-area.png,,,,,,,,,,,,,,,,,,,,
Brandywine Heights Area SD,Berks,114060853,bhasd.org,brandywine-heights.png,,,,,,,,,,,,,,,,,,,,
Chester-Upland SD,Delaware,125231232,chesteruplandsd.org,chester-upland.png,,,,,,,,,,,,,,,,,,,,
Colonial SD,Montgomery,123461602,colonialsd.org,colonial.png,,,,,,,,,,,,,,,,,,,,
Council Rock SD,Bucks,122092353,crsd.org,council-rock.png,,,,,,,,,,,,,,,,,,,,
Crestwood SD,Luzerne,118401403,,crestwood.png,,,,,,,,,,,,,,,,,,,,
Delaware Valley SD,Pike,120522003,dvsd.org,delaware-valley.png,,,,,,,,,,,,,,,,,,,,
Dallastown Area SD,York,112671603,,,,,,,,,,,,,,,,,,,,,,
Dunmore SD,Lackawanna,119352203,,dunmore.png,,,,,,,,,,,,,,,,,,,,
East Stroudsburg Area SD,Monroe,120452003,esasd.net,east-stroudsburg-area.png,,,,,,,,,,,,,,,,,,,,
Kennett Consolidated SD,Chester,124154003,kcsd.org,kennett-consolidated.png,,,,,,,,,,,,,,,,,,,,
Mountain View SD,Susquehanna,119584603,,mountain-view.png,,,,,,,,,,,,,,,,,,,,
Owen J Roberts SD,Chester,124156603,ojrsd.com,owen-j-roberts.png,,,,,,,,,,,,,,,,,,,,
Philadelphia City SD,Philadelphia,126515001,philasd.org,philadelphia.png,,,,,,,,,,,,,,,,,,,,
Phoenixville Area SD,Chester,124157203,pasd.com,phoenixville-area.png,,,,,,,,,,,,,,,,,,,,
Pocono Mountain SD,Monroe,120455403,pmsd.org,pocono-mountain.png,,,,,,,,,,,,,,,,,,,,
Southeast Delco SD,Delaware,125238402,sedelco.org,southeast-delco.png,,,,,,,,,,,,,,,,,,,,
Unionville-Chadds Ford SD,Chester,124158503,ucfsd.org,unionville-chadds-ford.png,,,,,,,,,,,,,,,,,,,,
Upper Perkiomen SD,Montgomery,123468603,upsd.org,upper-perkiomen.png,,,,,,,,,,,,,,,,,,,,
Wilkes-Barre Area SD,Luzerne,118408852,,wilkes-barre-area.png,,,,,,,,,,,,,,,,,,,,
Allegheny-Clarion Valley SD,Clarion,106160303,https://www.acvsd.org,allegheny-clarion-valley.png,,,,,,,,,,,,,,,,,,,,
Allentown City SD,Lehigh,121390302,https://www.allentownsd.org,allentown-city.png,,,,,,,,,,,,,,,,,,,,
Antietam SD,Berks,114060503,https://www.antietamsd.org,antietam.png,,,,,,,,,,,,,,,,,,,,
Bangor Area SD,Northampton,120480803,https://www.bangor.k12.pa.us,bangor-area.png,,,,,,,,,,,,,,,,,,,,
Bensalem Township SD,Bucks,122091002,https://www.bensalemsd.org,bensalem-township.png,,,,,,,,,,,,,,,,,,,,
Bethlehem Area SD,Northampton,120481002,https://www.beth.k12.pa.us,bethlehem-area.png,,,,,,,,,,,,,,,,,,,,
Brockway Area SD,Jefferson,106330703,http://www.brockway.k12.pa.us,brockway-area.png,,,,,,,,,,,,,,,,,,,,
Brookville Area SD,Jefferson,106330803,https://www.basd.us,brookville-area.png,,,,,,,,,,,,,,,,,,,,
Butler Area SD,Butler,104101252,https://www.basdk12.org,butler-area.png,,,,,,,,,,,,,,,,,,,,
Catasauqua Area SD,Lehigh,121391303,https://www.cattysd.org,catasauqua-area.png,,,,,,,,,,,,,,,,,,,,
Central Bucks SD,Bucks,122092102,https://www.cbsd.org,central-bucks.png,,,,,,,,,,,,,,,,,,,,
Cheltenham Township SD,Montgomery,123461302,https://www.cheltenham.org,cheltenham-township.png,,,,,,,,,,,,,,,,,,,,
Clarion Area SD,Clarion,106161203,https://www.clarion-schools.com,clarion-area.png,,,,,,,,,,,,,,,,,,,,
Cranberry Area SD,Venango,106611303,https://www.cranberrysd.org,cranberry-area.png,,,,,,,,,,,,,,,,,,,,
Downingtown Area SD,Chester,124152003,https://www.dasd.org,downingtown-area.png,,,,,,,,,,,,,,,,,,,,
Dubois Area SD,Clearfield,106172003,https://www.dubois.school,dubois-area.png,,,,,,,,,,,,,,,,,,,,
East Penn SD,Lehigh,121392303,https://www.eastpennsd.org,east-penn.png,,,,,,,,,,,,,,,,,,,,
Ellwood City Area SD,Lawrence,104372003,http://www.ellwood.k12.pa.us,ellwood-city-area.png,,,,,,,,,,,,,,,,,,,,
Exeter Township SD,Berks,114062003,https://www.exetersd.org,exeter-township.png,,,,,,,,,,,,,,,,,,,,
Farrell Area SD,Mercer,104432503,http://www.farrellareaschools.com,farrell-area.png,,,,,,,,,,,,,,,,,,,,
Fleetwood Area SD,Berks,114062503,https://www.fleetwoodasd.org,fleetwood-area.png,,,,,,,,,,,,,,,,,,,,
Franklin Area SD,Venango,106612203,https://sites.google.com/students.fasd.k12.pa.us/franklin-area-school-district/home,franklin-area.png,,,,,,,,,,,,,,,,,,,,
Governor Mifflin SD,Berks,114063003,https://www.gmsd.org,governor-mifflin.png,,,,,,,,,,,,,,,,,,,,
Great Valley SD,Chester,124153503,https://www.gvsd.org,great-valley.png,,,,,,,,,,,,,,,,,,,,
Greenville Area SD,Mercer,104432803,http://www.greenville.k12.pa.us,greenville-area.png,,,,,,,,,,,,,,,,,,,,
Grove City Area SD,Mercer,104432903,http://www.grovecity.k12.pa.us,grove-city-area.png,,,,,,,,,,,,,,,,,,,,
Jenkintown SD,Montgomery,123463803,https://www.jenkintowndrakes.org,jenkintown.png,,,,,,,,,,,,,,,,,,,,
Keystone SD,Clarion,106166503,https://keyknox.com,keystone.png,,,,,,,,,,,,,,,,,,,,
Kutztown Area SD,Berks,114064003,https://www.kasd.org,kutztown-area.png,,,,,,,,,,,,,,,,,,,,
Lakeview SD,Mercer,104433903,http://www.lakeview.k12.pa.us,lakeview.png,,,,,,,,,,,,,,,,,,,,
Laurel SD,Lawrence,104374003,https://www.laurelspartans.com,laurel.png,,,,,,,,,,,,,,,,,,,,
Lower Merion SD,Montgomery,123464502,https://www.lmsd.org,lower-merion.png,,,,,,,,,,,,,,,,,,,,
Marple Newtown SD,Delaware,125235502,https://www.mnsd.org,marple-newtown.png,,,,,,,,,,,,,,,,,,,,
Mercer Area SD,Mercer,104435003,http://www.mercer.k12.pa.us,mercer-area.png,,,,,,,,,,,,,,,,,,,,
Mohawk Area SD,Lawrence,104375003,http://www.mohawk.k12.pa.us,mohawk-area.png,,,,,,,,,,,,,,,,,,,,
Moniteau SD,Butler,104105353,http://www.moniteau.k12.pa.us,moniteau.png,,,,,,,,,,,,,,,,,,,,
Morrisville Borough SD,Bucks,122097203,https://www.mv.org,morrisville-borough.png,,,,,,,,,,,,,,,,,,,,
Muhlenberg SD,Berks,114065503,https://www.muhlsdk12.org,muhlenberg.png,,,,,,,,,,,,,,,,,,,,
Neshaminy SD,Bucks,122097502,https://www.neshaminy.org,neshaminy.png,,,,,,,,,,,,,,,,,,,,
Neshannock Township SD,Lawrence,104375203,http://ntsd.org,neshannock-township.png,,,,,,,,,,,,,,,,,,,,
New Castle Area SD,Lawrence,104375302,http://www.ncasd.com,new-castle-area.png,,,,,,,,,,,,,,,,,,,,
North Clarion County SD,Clarion,106167504,https://www.northclarion.org,north-clarion-county.png,,,,,,,,,,,,,,,,,,,,
Northern Lehigh SD,Lehigh,121394503,https://www.nlsd.org,northern-lehigh.png,,,,,,,,,,,,,,,,,,,,
Oil City Area SD,Venango,106616203,https://www.ocasd.org,oil-city-area.png,,,,,,,,,,,,,,,,,,,,
Palisades SD,Bucks,122098003,https://www.palisd.org,palisades.png,,,,,,,,,,,,,,,,,,,,
Pen Argyl Area SD,Northampton,120485603,https://www.penargylschooldistrict.org,pen-argyl-area.png,,,,,,,,,,,,,,,,,,,,
Penn-Delco SD,Delaware,125236903,https://www.pdsd.org,penn-delco.png,,,,,,,,,,,,,,,,,,,,
Pennsbury SD,Bucks,122098202,https://www.pennsburysd.org,pennsbury.png,,,,,,,,,,,,,,,,,,,,
Perkiomen Valley SD,Montgomery,123466103,https://www.pvsd.org,perkiomen-valley.png,,,,,,,,,,,,,,,,,,,,
Pittsburgh SD,Allegheny,102027451,https://www.pghschools.org,pittsburgh.png,,,,,,,,,,,,,,,,,,,,
Pleasant Valley SD,Monroe,120455203,https://www.pvbears.org,pleasant-valley.png,,,,,,,,,,,,,,,,,,,,
Radnor Township SD,Delaware,125237603,https://www.rtsd.org,radnor-township.png,,,,,,,,,,,,,,,,,,,,
Reading SD,Berks,114067002,https://www.readingsd.org,reading.png,,,,,,,,,,,,,,,,,,,,
Saucon Valley SD,Northampton,120486003,https://www.svpanthers.org,saucon-valley.png,,,,,,,,,,,,,,,,,,,,
Schuylkill Valley SD,Berks,114067503,https://www.schuylkillvalley.org,schuylkill-valley.png,,,,,,,,,,,,,,,,,,,,
Seneca Valley SD,Butler,104107903,http://www.svsd.net,seneca-valley.png,,,,,,,,,,,,,,,,,,,,
Shenango Area SD,Lawrence,104376203,https://www.shenangoschools.org,shenango-area.png,,,,,,,,,,,,,,,,,,,,
Slippery Rock Area SD,Butler,104107503,http://www.slipperyrock.k12.pa.us,slippery-rock-area.png,,,,,,,,,,,,,,,,,,,,
Springfield SD,Delaware,125238502,https://www.ssdcougars.org,springfield-de.png,,,,,,,,,,,,,,,,,,,,
Stroudsburg Area SD,Monroe,120456003,https://www.sburg.org,stroudsburg-area.png,,,,,,,,,,,,,,,,,,,,
Titusville Area SD,Venango,106617203,https://www.gorockets.org,titusville-area.png,,,,,,,,,,,,,,,,,,,,
Tredyffrin-Easttown SD,Chester,124157802,https://www.tesd.net,tredyffrin-easttown.png,,,,,,,,,,,,,,,,,,,,
Union Area SD,Lawrence,104377003,https://www.unionareasd.org,union-area.png,,,,,,,,,,,,,,,,,,,,
Upper Darby SD,Delaware,125239452,https://www.upperdarbysd.org,upper-darby.png,,,,,,,,,,,,,,,,,,,,
Valley Grove SD,Venango,106618603,https://www.vgsd.org,valley-grove.png,,,,,,,,,,,,,,,,,,,,
Wallenpaupack Area SD,Wayne,119648303,https://www.wallenpaupack.org,wallenpaupack-area.png,,,,,,,,,,,,,,,,,,,,
Wallingford-Swarthmore SD,Delaware,125239603,https://www.wssd.org,wallingford-swarthmore.png,,,,,,,,,,,,,,,,,,,,
West Chester Area SD,Chester,124159002,https://www.wcasd.net,west-chester-area.png,,,,,,,,,,,,,,,,,,,,
Whitehall-Coplay SD,Lehigh,121397803,https://www.whitehallcoplay.org,whitehall-coplay.png,,,,,,,,,,,,,,,,,,,,
Wilson Area SD,Northampton,120488603,https://www.wilsonareasd.org,wilson-area.png,,,,,,,,,,,,,,,,,,,,
Wissahickon SD,Montgomery,123469303,https://www.wsdweb.org,wissahickon.png,,,,,,,,,,,,,,,,,,,,
